Initial_pH,Initial_Brix,Temperature,Time_Until_Spoilage_Hours
5.7,12.4,6,42.6
6.0,10.2,34,9.1
5.7,11.0,12,20.8
6.1,10.9,25,22.4
5.8,10.0,9,29.9
6.2,11.4,26,23.1
6.1,9.5,7,35.8
6.2,11.5,31,14.6
5.8,11.8,8,38.0
5.8,9.7,30,12.1
6.0,10.6,7,37.3
6.0,10.1,28,18.1
5.8,9.3,4,43.3
5.6,12.0,25,22.6
6.3,9.5,4,43.1
6.5,10.1,27,18.9
6.3,10.0,6,42.8
5.9,9.4,25,20.4
5.9,9.1,11,18.1
5.5,10.5,35,8.1
6.1,9.7,9,32.8
6.3,10.0,25,21.0
6.2,9.7,9,32.4
6.0,11.5,29,16.7
6.2,11.1,12,22.5
5.6,10.9,35,5.7
5.9,9.3,12,20.1
6.3,9.9,35,7.3
6.4,9.6,9,33.8
6.2,12.0,32,13.8
6.4,9.4,6,41.5
5.6,11.0,26,19.7
5.6,10.0,9,30.1
5.5,11.7,30,14.3
5.9,9.4,9,30.0
5.8,9.7,-17,169.6
6.3,11.4,-15,142.7
5.5,12.4,-10,126.1
6.1,9.1,0,70.3
6.0,10.5,-19,162.9
6.6,9.2,-13,143.4
5.8,10.8,3,44.4
6.5,11.7,-10,117.7
6.5,10.1,-1,75.7
5.6,10.6,0,67.8
6.0,12.3,-4,80.4
5.6,10.7,3,37.3
6.3,12.3,-9,106.7
5.9,9.1,-11,130.7
6.1,9.5,-5,100.8
5.9,10.5,-15,146.9
5.8,9.5,-18,163.7
6.4,9.7,-20,165.7
5.9,9.1,-8,119.4
6.5,11.8,3,37.8
6.2,9.9,-9,111.5
6.6,9.3,-16,159.5
6.6,9.1,-18,165.3
5.6,10.9,-14,148.3
5.6,10.7,-11,121.4
6.1,10.1,-18,155.3
5.6,10.5,-15,136.5
6.0,11.7,1,61.5
6.1,11.0,-13,134.2
6.1,11.8,-19,178.5
6.3,10.1,-5,82.2
6.2,10.2,-5,84.2
5.6,11.1,-15,152.3
5.6,11.6,-3,92.3
6.6,11.4,1,62.6
6.1,9.4,-19,181.2
6.1,11.0,-5,88.1
5.6,9.6,-6,96.1
5.8,12.2,-15,147.4
6.2,9.7,-7,112.3
5.5,12.5,-10,110.9
5.5,10.4,-11,133.0
6.5,12.3,-14,132.0
6.5,9.9,-12,134.7
5.7,10.0,-7,96.4
6.4,11.9,-20,174.3
6.4,9.9,-12,135.6
6.4,10.9,-15,146.0
5.6,9.9,-1,69.8
5.8,9.8,0,68.9
5.6,12.2,-1,79.4
5.7,12.0,1,73.8
6.1,9.8,-1,74.8
6.6,12.5,-14,133.2
5.9,12.1,-7,97.0
5.8,9.1,-18,172.9
6.5,11.1,-9,122.1
6.4,9.9,-18,171.2
5.8,9.2,0,64.1
6.5,9.6,2,61.8
5.8,11.5,-4,93.3
5.9,9.3,-10,130.4
5.9,11.4,-3,74.3
5.6,9.2,-4,83.0
6.3,11.7,-11,123.6
5.8,10.8,-14,149.1
6.1,9.7,-13,130.2
5.7,10.2,-15,146.7
5.5,9.9,-14,144.1
5.5,11.9,-4,97.1
6.2,11.5,-2,76.8
5.8,10.5,-9,117.4
5.6,11.3,-5,81.9
5.6,10.6,-20,175.1
6.6,11.8,2,64.3
5.8,11.2,1,72.3
5.8,11.3,3,39.0
6.1,10.3,-13,131.9
6.5,11.0,-10,112.7
6.5,9.1,-14,148.0
6.5,11.9,-12,133.7
6.5,9.9,-5,103.2
6.4,12.5,-14,144.5
5.9,12.4,-14,130.6
6.6,10.3,3,42.8
5.6,11.5,-12,135.1
6.3,10.6,-10,114.3
6.4,11.2,-15,152.4
6.5,9.2,-11,126.8
6.2,10.2,-1,81.4
5.9,11.9,-4,95.5
5.8,9.2,1,69.7
6.2,12.2,-16,155.4
6.4,9.9,-4,87.2
5.5,10.3,-2,71.9
5.6,11.7,-4,83.9
5.9,9.5,2,69.8
6.2,11.5,-15,147.9
5.9,10.3,-17,150.2
5.6,10.1,1,65.3
6.3,12.0,-4,93.6
5.8,10.3,3,50.2
5.7,9.6,-11,114.8
5.9,11.2,-7,104.7
5.9,10.5,-4,76.9
5.8,9.4,-4,97.3
5.6,10.2,-16,156.9
5.8,11.6,-10,126.8
6.2,9.7,-1,62.4
6.2,9.4,-19,157.9
6.5,10.7,-12,138.9
5.8,11.7,0,64.1
5.7,11.8,-12,138.8
5.7,9.3,-2,68.8
5.8,10.0,2,70.2
5.6,9.4,-5,99.0
5.7,12.0,-7,106.0
6.1,12.1,-1,71.0
5.7,11.4,-7,91.8
5.7,11.9,3,53.5
6.1,9.6,-19,164.4
6.6,10.0,-16,147.6
6.5,11.2,-17,167.4
6.4,11.3,-6,90.5
6.4,9.2,3,55.5
6.0,9.2,-19,180.1
6.1,9.6,-16,160.2
5.9,10.3,-7,102.6
5.6,11.6,0,75.1
6.4,9.3,-7,108.7
5.6,9.2,-2,73.3
6.1,9.4,-1,68.5
5.7,11.0,-13,148.1
6.0,10.6,-18,168.7
5.8,11.8,-13,134.6
6.2,12.2,-18,168.1
5.5,11.9,-13,131.0
6.5,10.9,-19,166.0
6.2,9.3,-4,88.8
6.5,10.3,-6,97.9
5.6,11.0,-10,121.3
6.2,12.2,-3,71.7
5.6,10.6,-18,154.3
5.9,9.4,-1,67.3
5.7,9.2,-19,173.0
6.0,10.2,-7,92.5
6.4,9.6,-8,104.3
5.6,10.1,2,61.4
6.0,9.1,-4,93.5
5.5,11.9,-3,92.2
